Time,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,Tank 6,Tank 7,Tank 8
05/02/2023 18:30,28.03585,28.744363,28.752804,28.00982,28.064977,28.052733,28.007132,28.729971
05/02/2023 18:35,27.995806,28.668668,28.692042,28.007066,28.004313,28.011935,27.975169,28.69037
05/02/2023 18:40,27.999477,28.748034,28.708925,28.053372,27.98543,27.980267,28.056224,28.737904
05/02/2023 18:45,28.015541,28.70799,28.76018,28.023048,28.075779,28.032293,27.99238,28.690894
05/02/2023 18:50,28.016983,28.699073,28.697713,27.99415,28.018344,28.034522,28.012246,28.737986
05/02/2023 18:55,28.003723,28.751657,28.707662,28.056912,27.971612,27.969596,28.048815,28.693123
05/02/2023 19:00,27.988167,28.674765,28.765245,28.041832,28.081204,27.989561,27.974349,28.74251
05/02/2023 19:05,28.013312,28.736675,28.701467,27.995593,28.032538,28.06755,28.042062,28.696943
05/02/2023 19:10,28.024654,28.716301,28.683338,28.040734,27.967547,28.007575,28.061207,28.745985
05/02/2023 19:15,27.99533,28.685108,28.782784,28.049454,28.051683,28.00628,27.974087,28.688681
05/02/2023 19:20,28.029441,28.746805,28.727529,28.002149,28.061387,28.04934,27.999133,28.753951
05/02/2023 19:25,28.019229,28.685649,28.671798,28.019262,27.987758,28.025375,28.056666,28.693468
05/02/2023 19:30,27.986725,28.73992,28.776555,28.071419,27.994625,27.958352,28.009345,28.743363
05/02/2023 19:35,28.018622,28.72648,28.734724,28.030949,28.085745,28.032063,27.990511,28.698598
05/02/2023 19:40,28.027637,28.676175,28.677355,27.988135,28.027408,28.067813,28.061715,28.752607
05/02/2023 19:45,27.997838,28.745231,28.760049,28.054044,27.971251,28.003395,28.013361,28.717825
05/02/2023 19:50,28.012639,28.68655,28.743002,28.037931,28.052601,27.965203,27.979972,28.716202
05/02/2023 19:55,28.033473,28.740265,28.67965,27.993953,28.035046,28.041783,28.03703,28.729102
05/02/2023 20:00,28.022835,28.72307,28.750411,28.030358,27.966809,28.04116,28.018557,28.686157
05/02/2023 20:05,27.992986,28.676798,28.748444,28.068403,28.043373,27.98066,27.999149,28.753738
05/02/2023 20:10,27.992954,28.749854,28.696385,28.02631,28.05011,28.006886,28.064354,28.685272
05/02/2023 20:15,28.014066,28.690484,28.720038,27.986184,27.981791,28.05147,28.044275,28.75977
05/02/2023 20:20,28.025884,28.719464,28.749739,28.061944,28.019884,28.031834,28.003149,28.706138
05/02/2023 20:25,28.020999,28.720513,28.701663,28.033391,28.07845,27.974595,27.996805,28.720317
05/02/2023 20:30,28.002559,28.675159,28.709056,27.986954,28.010246,28.022196,28.058453,28.729348
05/02/2023 20:35,28.014164,28.755345,28.782849,28.049012,27.982103,28.039554,28.056552,28.687501
05/02/2023 20:40,28.029457,28.69391,28.712449,28.051061,28.08604,27.97371,27.986118,28.751493
05/02/2023 20:45,28.018393,28.709433,28.68978,28.003477,28.031817,28.014131,27.992921,28.696631
05/02/2023 20:50,28.006952,28.722365,28.785931,28.00705,27.969662,28.043242,28.103513,28.742412
05/02/2023 20:55,28.002362,28.6737,28.728627,28.056126,28.047225,27.994445,28.039685,28.705728
05/02/2023 21:00,28.024966,28.761704,28.677207,28.014983,28.039161,27.985381,27.987544,28.743215
05/02/2023 21:05,28.037685,28.701417,28.767573,27.983184,27.963236,28.069993,27.993642,28.713711
05/02/2023 21:10,28.007722,28.707302,28.745559,28.070681,28.034358,28.017213,28.032752,28.732725
05/02/2023 21:15,27.9981,28.742478,28.670454,28.04157,28.049667,27.980791,28.00028,28.718743
05/02/2023 21:20,28.015262,28.675847,28.744559,27.994396,27.986807,28.064387,27.981775,28.731299
05/02/2023 21:25,28.018753,28.745346,28.763327,28.030719,28.005214,28.033522,28.044897,28.709039
05/02/2023 21:30,28.029506,28.706974,28.699237,28.055076,28.067124,27.990577,28.028457,28.731364
05/02/2023 21:35,27.994035,28.706122,28.699155,28.004198,28.013639,28.038456,27.991364,28.723546
05/02/2023 21:40,28.035702,28.737429,28.790701,28.010836,27.981906,28.018278,27.994003,28.710973
05/02/2023 21:45,28.014049,28.690419,28.726709,28.058519,28.076647,27.965383,28.016524,28.728512
05/02/2023 21:50,28.001002,28.753099,28.674798,28.023441,28.019376,28.044947,28.0279,28.701827
05/02/2023 21:55,27.993314,28.696877,28.764229,27.986086,27.974415,28.024097,28.038292,28.723972
05/02/2023 22:00,28.010459,28.723136,28.7302,28.062813,28.067173,27.972759,28.01105,28.688354
05/02/2023 22:05,28.028408,28.724644,28.680781,28.041947,28.040046,28.031539,28.053683,28.729873
05/02/2023 22:10,28.030768,28.680732,28.76554,28.004903,27.963203,28.02831,27.998363,28.68142
05/02/2023 22:15,28.003051,28.752345,28.73938,28.00351,28.036604,27.956614,28.026392,28.753558
05/02/2023 22:20,28.00192,28.689632,28.676158,28.071042,28.069255,28.009722,28.047028,28.696631
05/02/2023 22:25,28.028785,28.713645,28.734823,28.037407,27.992085,28.058011,28.039161,28.752755
05/02/2023 22:30,28.001641,28.732479,28.754935,27.991118,27.998953,27.997264,28.031539,28.720546
05/02/2023 22:35,28.00346,28.674093,28.687927,28.045602,28.066993,27.968039,27.95068,28.709465
05/02/2023 22:40,28.036882,28.74828,28.738724,28.053995,28.002329,28.042537,28.045291,28.730086
05/02/2023 22:45,28.006247,28.693041,28.751804,28.00228,27.997478,28.043767,28.079336,28.689583
05/02/2023 22:50,27.992068,28.725004,28.699713,28.005181,28.071058,27.995658,28.092022,28.74533
05/02/2023 22:55,28.005493,28.716333,28.705974,28.064928,28.004231,27.9793,28.010804,28.693976
05/02/2023 23:00,28.029719,28.696156,28.773178,28.025638,27.974431,28.046258,27.977808,28.753279
05/02/2023 23:05,28.01064,28.742363,28.715989,27.985692,28.071304,28.027982,28.057535,28.70958
05/02/2023 23:10,27.991773,28.679027,28.676437,28.053191,28.022146,27.981709,28.054011,28.733544
05/02/2023 23:15,28.010722,28.751198,28.788848,28.041193,27.962204,28.039292,28.020819,28.705712
05/02/2023 23:20,28.02531,28.684436,28.742691,27.993216,28.063829,28.025933,27.962269,28.727775
05/02/2023 23:25,28.018671,28.730938,28.687059,28.027179,28.044357,27.985889,27.973104,28.707335
05/02/2023 23:30,27.984742,28.710433,28.73479,28.046946,27.975497,27.995822,28.036341,28.735396
05/02/2023 23:35,28.024458,28.690599,28.752247,28.018639,28.036423,28.052913,28.063338,28.72466
05/02/2023 23:40,28.006591,28.734938,28.692878,27.991134,28.063534,27.993544,27.978562,28.702745
05/02/2023 23:45,27.995347,28.671569,28.715071,28.066091,27.992675,27.987987,27.945763,28.72307
05/02/2023 23:50,28.015508,28.741953,28.774014,28.04157,27.998133,28.05129,28.068288,28.698418
05/02/2023 23:55,28.038062,28.721152,28.707499,27.986315,28.074795,28.018311,28.018491,28.731922
05/03/2023 00:00,27.994724,28.68914,28.677552,28.044553,28.014508,27.962843,28.08599,28.687321
05/03/2023 00:05,28.003182,28.734577,28.772326,28.052503,27.977136,28.044504,27.998395,28.757869
05/03/2023 00:10,28.033178,28.674241,28.725676,28.02154,28.070976,28.043848,27.934994,28.688829
05/03/2023 00:15,27.992904,28.75582,28.675011,27.995461,28.035079,27.961286,28.087171,28.739904
